id,composition,Natom,Nelem,D,Nmag,CS,SG,E,M,MR,MSVL,dmean,dstd,ehull
mp-1179354,Ti2 Fe2 O6,10,3,16.19896577618398,2,6,2,3.386,30.344,2.0,13.9795153569935,4.307451958833756,1.8986681662376705,0.07524877899999893
mp-1279320,La4 Mn4 O12,20,3,12.409088280383125,2,4,83,3.0380000000000003,48.368,0.5,7.898594492440265,4.989344972253755,1.8467560834512826,0.17121937395238085
mp-1220387,Nb2 Ag2 O6,10,3,12.791798090285628,0,4,127,3.664,49.762,0.0,5.632712,3.46618187166805,1.0961025159134006,0.05343229728571597
mp-1078473,Mn4 C4 O12,20,3,11.159881351538463,4,6,2,3.618,22.990000000000002,0.5,8.113269553683182,4.190141441574873,1.5099387585989428,0.030299366999999577
mp-1183150,Ac1 Si1 O3,5,3,12.51580956744982,0,1,221,3.336,60.61800000000001,0.0,3.970175,2.623756089745369,0.457093284030011,0.47082051350000853
mp-755535,Zn4 Fe4 O12,20,3,11.373798370194436,4,7,15,2.6860000000000004,33.846,2.0,6.926910839307488,4.186126343182136,1.4391596282465993,0.11626695675000054
mp-1378086,V4 Zn4 O12,20,3,10.144854151189417,4,2,62,2.8920000000000003,32.864,0.5,7.643512,4.281123894125408,1.5461340152314011,0.1053277084999964
mp-19156,Ba2 Mn2 O6,10,3,13.862812636506428,2,3,194,2.524,48.048,2.0,7.012529756134814,3.8421763009519747,1.1734873550287432,0.006972870666664299
mp-1188225,Sm4 V4 O12,20,3,11.685739728002542,4,2,62,3.05,49.868,0.0,7.64646575,4.444680615756552,1.638129908038731,0.0
mp-7339,Ba4 Si4 O12,20,3,16.77323849260032,0,2,19,2.866,42.678000000000004,0.5,12.707909,5.536674519576792,2.547791434385851,0.02203185050000034
mp-755559,Li2 Nb2 O6,10,3,12.501378887896589,0,7,12,3.4,29.57,0.5,6.888198684542136,3.92894867179505,1.319804921312552,0.055166170000003234
mp-21094,In2 Fe2 O6,10,3,12.35642945736485,4,3,194,2.9200000000000004,43.730000000000004,0.5,12.360357,4.9506942295135445,2.567017929896618,0.04748336799999908
mp-1187481,Tl1 Ga1 O3,5,3,11.944977701371485,0,1,221,2.498,64.424,0.0,3.908875,2.5832449666081296,0.45003570638896506,0.43010489099999916
mp-1183426,Be1 Cu1 O3,5,3,8.2975205420413,0,1,221,2.922,24.11244,2.0,3.461833,2.287809835947151,0.398566968643313,0.8452511658750002
mp-1338333,Eu4 Cu4 O12,20,3,14.051142459859857,4,7,15,2.6300000000000003,52.71,0.5,10.842515316781187,4.883342673941261,1.9403748662302787,0.17514463812499947
mp-554874,Cu4 Ge4 O12,20,3,10.62945875817117,4,7,14,3.028,36.836,0.5,6.855736,4.179268921714284,1.4556561728612785,0.09287252983333616
mp-676262,Ta8 Tl8 O24,40,3,15.13040273560705,0,7,15,3.556,86.66,0.0,13.676097657952052,6.541846138457141,2.918796266630576,0.0
mp-984454,K1 Tl1 O3,5,3,17.160775060113583,3,1,221,2.1228000000000002,58.3,0.5,4.410647,2.9148493267846236,0.5078056060317533,0.33311766899999995
mp-1080052,Li2 I2 O6,10,3,9.965345359511932,0,3,194,2.108,36.368,0.5,6.979532839040876,3.3666194350800063,1.0713268456365934,0.8675189934999992
mp-685257,Cd8 Pb8 O24,40,3,14.427420395994114,0,2,73,2.198,73.52000000000001,2.0,10.58945150177508,6.1600460821441025,2.4103652960708453,0.0
mp-977100,Ni1 Mo1 O3,5,3,12.117816040470212,2,1,221,3.8120000000000003,40.528,0.5,3.927638,2.5956448067944917,0.452195923832341,0.9362926199999997
mp-18814,Mn2 C2 O6,10,3,10.217288915450139,2,5,167,3.618,22.990000000000002,0.5,7.10092202287353,3.4810005613797683,1.1087666909422458,0.0
mp-998845,Tl2 Ni2 O6,10,3,10.931815844005023,2,5,161,2.8240000000000003,62.218,0.5,7.619594845581159,3.8922834330301233,1.8803017572062473,0.10253182658333326
mp-1421498,Al1 Fe1 O3,5,3,10.983265658300237,1,1,221,3.0940000000000003,26.165999999999997,2.0,3.801023,2.5119691810845146,0.4376185144845264,1.4042949875000144
mp-1185009,K1 Os1 O3,5,3,12.150434951227972,0,1,221,3.3808,55.459999999999994,0.5,3.931159,2.597971718125099,0.45260130280255506,0.03862509242856493
mp-1421511,Al1 Sb1 O3,5,3,13.303304318041839,0,1,221,2.7880000000000003,39.356,0.5,4.051755,2.677669587714962,0.46648573401298876,1.3185118979999988
mp-1178374,Cu2 C2 O6,10,3,11.97354338574424,2,6,2,3.732,24.712,0.5,7.079080469563886,3.7317447623264584,1.270151937186867,0.08511432700000032
